¿Lo recuerdas? Estar juntos por el resto de nuestras vidas...,Up
"En lo profundo de mi alma, sé que soy tu destino.",Mulán
Oye... creo que hablas mucho. ¡Me agradas!,Up
"Nunca miro atrás, cariño, me distrae del presente.",Los Increíbles
¡Que nadie se mueva! Tengo un dragón y no tengo miedo a utilizarlo.,Shrek
Derretirse vale la pena por ciertas personas.,Frozen
La culpa de lo que ha pasado... ¡échasela al cerdo!,Vaiana
A los niños no se les debería mandar a la cama... cuando despiertan son un día mayores.,Peter Pan
Cuando el mundo te dé la espalda... ¡dale la espalda al mundo!,El Rey León
No volveré a morder traseros.,Mulán
¡Nemo!... qué nombre tan bonito.,Buscando a Nemo
¿Se me ha apagado el pelo?,Hércules
"No más cafeína, ¿eh?",Lilo & Stitch
Soy un cerdo decente... ¡no un puerco!,El Rey León
"Si al hablar no has de agradar, te será mejor callar.",Bambi
"-Él es diferente. Es dulce y nunca haría nada para lastimare...
-¡Es un chico!",Hércules
¡Pero si es un perro que habla!,Up
¡Hay una serpiente en mi bota!,Toy Story
"¡Aaaah, perdí el estilo!",El emperador y sus locuras
"Esto sonará aburrido, pero creo que las cosas aburridas son las que más recuerdo.",Up
"Si la vida te derrota... ¿qué hay que hacer? ¡Sigue nadando, sigue nadando!",Buscando a Nemo
Soy una doncella y estoy en apuros... que arreglaré yo sola. Que tengas un buen día.,Hércules
"Por mi senda iré, llegaré a mi meta.",Hércules
"Mantened la calma en la tempestad, siempre en equilibrio y en vencer pensar.",Mulán
"No sé si podrás oírme, no sé si estarás ahí; mi oración es tan humilde... ¿cómo hablarte a ti?",El Jorobado de Notre Dame
"Lo que más me gusta del río, es que nunca él se mantiene igual.",Pocahontas
"Yo te puedo enseñar cosas maravillosas; ven princesa, déjate llevar a un mundo ideal.",Aladdin
"Es un ciclo sin fin que nos mueve a todos, y aunque estemos solos, debemos buscar.",El Rey León
"¡Con valor! con la energía del fuego ardiente, la luna sabrá guiar el corazón.",Mulán
"Busca lo que es vital nomás, lo que es necesidad nomás y olvídate de la preocupación.",El libro de la selva
"Más allá de la gloria, el orgullo y el valor, el poder de un héroe está en su corazón.",Hércules
"Lo nuestro no morirá, lo vas a saber, es mejor saber, que hay un amigo en mí.",Toy Story
"En tanto tu lo creas, se hará realidad tu soñar.",Cenicienta
"Si es muy grande tu ilusión, pídela al corazón... la estrella te sabrá escuchar.",Pinocho
"Cuando me iré quiero explorar, sin importarme cuando volver.",La Sirenita
"Si no tienes nada, nada tienes que perder. Si no hay futuro, para qué querrán crecer.",Peter Pan
"Debes aprender, dice la canción, que antes de juzgar, tienes que llegar hasta el corazón.",La Bella y la Bestia
"No voy a parar, por cada minutos del resto de mi vida... ¡voy a luchar!",Rapunzel
"Hakuna Matata, una forma de ser... Hakuna Matata, nada que temer.",El Rey León
"Va callada, pero crees que te habla su alma.",La Sirenita
Sendas que tomé me regresarán al lugar aquel donde anhelo estar.,Moana
"Los miran las estrellas, la magia los unió... y con la sensación romántica, el caos comenzó.",El Rey León
Hasta el infinito y más allá.,Toy Story
"Todo es posible, incluso lo imposible.",Mary Poppins
La flor que florece en la adversidad es la más rara y hermosa de todas.,Mulán
La vida no tiene que ser perfecta para ser maravillosa.,Cenicienta
"Si pasas el tiempo observando, verás tu vida pasar y tú te quedarás atrás.",El Jorobado de Notre Dame
El camino correcto no siempre es el más fácil.,Pocahontas
Aquí todos estamos locos.,Alicia en el País de las Maravillas
Ohana significa familia. Y la familia nunca te abandona.,Lilo & Stitch
"Si te centras en lo que pasaste, no podrás ver lo que te espera.",Ratatouille
"Para verlo, solo necesitas tener suficiente valor.",Brave
Nuestro destino vive dentro de nosotros.,Brave
El cambio es nuestra opción; y se inicia cuando se decide.,Ratatouille
Hay que explorar lo inexplorado.,Up
"Recuérdame, aunque te diga adiós.",Coco
Que tu alma libre esté.,Tarzán
Deja siempre que tu conciencia sea tu guía.,Pinocho
Nada brilla más que un corazón noble.,Enredados
Nunca es tarde para ser joven.,Blancanieves
Fuiste mi nuevo sueño.,Enredados
Cualquier día a tu lado es mi mi día favorito.,Winnie the Pooh
"No nacemos para ser lo que los demás quieren que seamos, nacemos para ser lo que nosotros queramos.",Brave
Lo único predecible en la vida es que es impredecible.,Ratatouille
¿Cuándo fue la última vez que dejaste a tu corazón decidir?,Aladdin
Tu identidad es tu posesión más valiosa.,Los Increíbles
Sabes dónde estás porque sabes dónde vives.,Moana
El amor verdadero nunca cortará tus alas.,Maléfica
Estás completamente loco... pero te diré un secreto: las mejores personas lo están.,Alicia en el País de las Maravillas
"El pasado puede doler, pero tal y como yo lo veo puedes o huir de él, o aprender.",El Rey León
"Eres más valiente de lo que crees, más fuerte de lo que pareces y más inteligente de lo que piensas.",Mulán
"Lo que hoy te duele, mañana será solo un recuerdo.",Cenicienta
¿Quién dice que mis sueños deben ser solo sueños?,La Sirenita
Recuerda que tú eres el único que puede llenar el mundo de luz.,Blancanieves
"El ayer es pasado, el mañana es un misterio y el hoy es un regalo... por eso se llama presente.",Kung Fu Panda
Eso me pasa por pedirle deseos a las estrellas; uno solo puede lograr lo que quiere trabajando duro.,Tiana y el sapo
"Cuando te miro, puedo sentirlo. Te miro y estoy en casa.",Buscando a Nemo
¿Conoces ese espacio entre un sueño y la vigilia? ¿Ese lugar en el que aún recuerdas los sueños? Ahí es donde siempre te amaré.,Peter Pan
Tú eres mi mejor aventura.,Los Increíbles
Mi sueño no estaría completo si tu no estuvieras en él.,Tiana y el sapo
Enséñame a hablar el lenguaje de los hombres.,Tarzán
Todo es mejor cuando lo compartes con un amigo.,Winnie the Pooh
